10687694;http://stackoverflow.com/posts/10687694/revisions;2;-1
;;3;2
;;4;0
;;5;-1
11773525;http://stackoverflow.com/posts/11773525/revisions;2;-1
;;3;2
;;4;-1
2049238;http://stackoverflow.com/posts/2049238/revisions;2;0
;;3;1
;;4;1
;;5;-1
;;6;0
17931480;http://stackoverflow.com/posts/17931480/revisions;2;2
17362468;http://stackoverflow.com/posts/17362468/revisions;2;-1
;;3;2
13421787;http://stackoverflow.com/posts/13421787/revisions;2;0
;;3;-1
17894620;http://stackoverflow.com/posts/17894620/revisions;2;-1
;;3;-1
;;4;-1
;;5;0
;;6;-1
15078621;http://stackoverflow.com/posts/15078621/revisions;2;0
;;3;5
12233950;http://stackoverflow.com/posts/12233950/revisions;2;3
11130082;http://stackoverflow.com/posts/11130082/revisions;2;-1
;;3;5
;;4;5
6618501;http://stackoverflow.com/posts/6618501/revisions;2;-1
;;3;-1
;;4;5
16597729;http://stackoverflow.com/posts/16597729/revisions;2;2
;;3;2
4275442;http://stackoverflow.com/posts/4275442/revisions;2;4
;;3;1
10281171;http://stackoverflow.com/posts/10281171/revisions;2;-1
;;3;2
;;4;-1
17179892;http://stackoverflow.com/posts/17179892/revisions;2;2
12088565;http://stackoverflow.com/posts/12088565/revisions;2;2
;;3;1
;;4;2
10501366;http://stackoverflow.com/posts/10501366/revisions;2;2
;;3;5
3978487;http://stackoverflow.com/posts/3978487/revisions;2;2
;;3;-1
;;4;-1
3632378;http://stackoverflow.com/posts/3632378/revisions;2;3
16827643;http://stackoverflow.com/posts/16827643/revisions;2;2
;;3;-1
;;4;5
;;5;5
;;6;-1
;;7;2
14892284;http://stackoverflow.com/posts/14892284/revisions;2;2
7634173;http://stackoverflow.com/posts/7634173/revisions;2;2
9519388;http://stackoverflow.com/posts/9519388/revisions;2;2
;;3;2
;;4;5
;;5;-1
1848826;http://stackoverflow.com/posts/1848826/revisions;2;2
;;3;-1
;;4;3
;;5;-1
17642755;http://stackoverflow.com/posts/17642755/revisions;2;-1
;;3;5
;;4;-1
;;5;5
;;6;-1
11730180;http://stackoverflow.com/posts/11730180/revisions;2;3
;;3;-1
;;4;-1
;;5;2
;;6;5
6350038;http://stackoverflow.com/posts/6350038/revisions;2;2
;;3;5
7154953;http://stackoverflow.com/posts/7154953/revisions;2;2
10329355;http://stackoverflow.com/posts/10329355/revisions;2;2
;;3;2
;;4;-1
16661772;http://stackoverflow.com/posts/16661772/revisions;2;2
16493838;http://stackoverflow.com/posts/16493838/revisions;2;0
;;3;5
;;4;5
17195230;http://stackoverflow.com/posts/17195230/revisions;2;2
;;3;-1
;;4;5
16073944;http://stackoverflow.com/posts/16073944/revisions;2;0
;;3;5
;;4;5
;;5;5
9635090;http://stackoverflow.com/posts/9635090/revisions;2;2
;;3;-1
10306836;http://stackoverflow.com/posts/10306836/revisions;2;2
;;3;4
;;4;5
;;5;-1
;;6;1
10326574;http://stackoverflow.com/posts/10326574/revisions;2;5
13016281;http://stackoverflow.com/posts/13016281/revisions;2;1
;;3;1
9493785;http://stackoverflow.com/posts/9493785/revisions;2;-1
13366555;http://stackoverflow.com/posts/13366555/revisions;2;-1
;;3;3
2493724;http://stackoverflow.com/posts/2493724/revisions;2;5
